excel_row,reason,compte,centre,designation,montant
3,missing_centre,6611000,93.3.4.1 Consultation Medecine interne,SALAIRES,25325260
4,missing_centre,6611000,93.3.4.2 hospitalisations Medecine interne,SALAIRES,35625675
5,invalid_required_fields,6611000,93.3.8.3 endoscopie,SALAIRES,None
6,missing_centre,6611000,93.3.14.1 Consultations Chirurgie Générale,SALAIRES,4592408
7,missing_centre,6611000,93.3.14.2 Hospitalisations  Chirurgie Générale,SALAIRES,3454918
8,missing_centre,6611000,93.3.14.3 Actes chirurgicaux Chirurgie Générale,SALAIRES,21374671
9,missing_centre,6611000,93.3.10.1 consultations Pédiatrie,SALAIRES,19456820
10,missing_centre,6611000,93.3.10.2 hospitalisations Pédiatrie,SALAIRES,21291419
11,missing_centre,6611000,93.3.10.3 actes Pédiatrie,SALAIRES,12504456
12,missing_centre,6611000,93.3.17.1 Consultations Gynécologie Obstétrique,SALAIRES,18533335
13,missing_centre,6611000,93.3.17.2  Hospitalisations Gynécologie Obstétrique,SALAIRES,10586648
14,missing_centre,6611000,93.3.17.3 acouchement,SALAIRES,15615885
15,missing_centre,6611000,93. 3.17.4 Actes Gynécologie Obstétrique,SALAIRES,19964107
16,missing_centre,6611000,93.3.20.1 Consultations Ophtalmologie,SALAIRES,7978513
17,invalid_required_fields,6611000,93.3.20.2 Hospitalisations Ophtalmologie,SALAIRES,None
18,missing_centre,6611000,93.3.20.3 actes Ophtalmologie,SALAIRES,7106739
19,missing_centre,6611000,93.3.13.1 Consultations Odontologie,SALAIRES,973762
20,missing_centre,6611000,93.3.13.2 Actes chirurgicaux Odontologie,SALAIRES,5352060
21,missing_centre,6611000,93.2.3.1 Scanner,SALAIRES,31298153
22,missing_centre,6611000,93.2.3.2Radio standard,SALAIRES,17836547
25,missing_centre,6611000,93.3.15.1 Consultations Orthopédie,SALAIRES,3027658
26,missing_centre,6611000,93.3.15.2 Hospitalisations Orthopédie,SALAIRES,1051606
27,missing_centre,6611000,93.3.15.3 Actes chirurgicaux Orthopédie,SALAIRES,11476873
28,missing_centre,6611000,93.3.16.1 Séance,SALAIRES,5756193
32,missing_centre,6611000,93.2.1.4 Immuno-sérologie,SALAIRES,6783049
35,missing_centre,6611000,93.3.1.1 Consultations urgence,SALAIRES,25369452
36,missing_centre,6611000,93.3.1.2 hospitalisation Urgences,SALAIRES,9435950
37,missing_centre,6611000,93.3.1.3 Actes Urgences,SALAIRES,4906060
41,missing_centre,6611000,93.3.2.3 hospitalisation Anesthesie Réanimation,SALAIRES,13147734
42,missing_centre,6611000,93.3.3.1 Consultations Consultation externes,SALAIRES,32801636
43,invalid_required_fields,6611000,93.3.3.2 Mise en Observations Consultations externes,SALAIRES,None
44,missing_centre,6611000,93.3.3.3 actes Consultation externes,SALAIRES,5125751
45,missing_centre,6611000,93.3.7.1 consultations Dermatologie,SALAIRES,3081094
46,missing_centre,6611000,93.3.7.2 Hospitalisations Dermatologie,SALAIRES,59777
47,missing_centre,6611000,93.3.7.3 Actes Dermatologie,SALAIRES,349479
48,missing_centre,6611000,93.3.6.1 consultations Cardiologie,SALAIRES,1178862
49,missing_centre,6611000,93.3.6.2 hospitalisations Cardiologie,SALAIRES,1084423
52,missing_centre,6611000,93.3.6.5 Echocoeur,SALAIRES,3139328
54,missing_centre,6611000,93.3.19.1 Consultations ORL,SALAIRES,2560218
55,missing_centre,6611000,93.3.19.2 Hospitalisations ORL,SALAIRES,241722
57,missing_centre,6611000,93.3.12.1 Consultations Néphrologie Hémodialyse,SALAIRES,3066684
58,invalid_required_fields,6611000,93.3.12.2 Hospitalisations de jour Néphrologie Hémodialyse,SALAIRES,None
60,missing_centre,6611000,93.1.1.1 Secrétariat Direction,SALAIRES,12110016
61,invalid_required_fields,6611000,93.1.1.2.1 CA,SALAIRES,None
62,invalid_required_fields,6611000,93.1.1.2.2 CME,SALAIRES,None
63,invalid_required_fields,6611000,93.1.1.2.3 CTE,SALAIRES,None
64,invalid_required_fields,6611000,93.1.1.2.4 Commission de passation des marchés,SALAIRES,None
65,missing_centre,6611000,93.1.2.1 Secrétariat SAF,SALAIRES,12456875
66,missing_centre,6611000,93.1.2.2.1 Bureau de la facturation,SALAIRES,15228757
67,missing_centre,6611000,93.1.2.2.2 Bureau des entrées,SALAIRES,8228557
71,missing_centre,6611000,93.1.6.1 Secrétariat ACP,SALAIRES,5353489
72,missing_centre,6611000,93.1.6.2.1 Caisse dépenses,SALAIRES,5353489
73,missing_centre,6611000,93.1.6.2.2 Caisse recettes (caisse principale),SALAIRES,14707535
74,missing_centre,6611000,93.1.6.3 Division recouvrement,SALAIRES,3680193
75,missing_centre,6611000,93.1.3.1 Secrétaire CG,SALAIRES,4930496
