excel_row,reason,compte,centre,designation,montant
5,invalid_required_fields,6611000,93.3.8.3 endoscopie,SALAIRES,None
17,invalid_required_fields,6611000,93.3.20.2 Hospitalisations Ophtalmologie,SALAIRES,None
43,invalid_required_fields,6611000,93.3.3.2 Mise en Observations Consultations externes,SALAIRES,None
58,invalid_required_fields,6611000,93.3.12.2 Hospitalisations de jour Néphrologie Hémodialyse,SALAIRES,None
61,invalid_required_fields,6611000,93.1.1.2.1 CA,SALAIRES,None
62,invalid_required_fields,6611000,93.1.1.2.2 CME,SALAIRES,None
63,invalid_required_fields,6611000,93.1.1.2.3 CTE,SALAIRES,None
64,invalid_required_fields,6611000,93.1.1.2.4 Commission de passation des marchés,SALAIRES,None
76,invalid_required_fields,6611000,93.1.3.2 division Comptabilité analytique,SALAIRES,None
77,invalid_required_fields,6611000,93.1.3.3 division suivi budgétaire,SALAIRES,None
79,invalid_required_fields,6611000,93.1.11.1 Brancardage,SALAIRES,None
80,invalid_required_fields,6611000,93.1.11.2 Division qualité ,SALAIRES,None
82,invalid_required_fields,6611000,93.1.11.4.1 CLIN,SALAIRES,None
83,invalid_required_fields,6611000,93.1.11.4.2 Comité 5S,SALAIRES,None
85,invalid_required_fields,6611000,93.1.9.2 Cellule de communication,SALAIRES,None
87,invalid_required_fields,6611000,93.1.9.4 Prise en charge des Cas sociaux,SALAIRES,None
88,invalid_required_fields,6611000,93.1.9.5 MAGAL,SALAIRES,None
92,invalid_required_fields,6611000,93.1.5.3.1 Bureau formation,SALAIRES,None
94,invalid_required_fields,6611000,93.1.5.3.3 CHST,SALAIRES,None
95,missing_centre_after_creation,6611000,"93.1. 12.2 Division génie-civil (infrastructures, etc)",SALAIRES,5562019
96,missing_centre_after_creation,6611000,93.1. 12.3 Division biomédicale,SALAIRES,3337212
97,missing_centre_after_creation,6611000,93.1. 12.4 Cellule informatique et télécoms,SALAIRES,3337212
98,missing_centre_after_creation,6611000,93.1. 12.5 magasin STM,SALAIRES,10011635
99,missing_centre_after_creation,6611000,93.1. 13.1 Division hygiène,SALAIRES,4998185
100,missing_centre_after_creation,6611000,93.1. 13.2 Division sécurité,SALAIRES,4998185
108,invalid_required_fields,6612000,93.3.8.3 endoscopie,RESPONSABILITE,None
120,invalid_required_fields,6612000,93.3.20.2 Hospitalisations Ophtalmologie,RESPONSABILITE,None
142,invalid_required_fields,6612000,93.1.14.1 Pharmacie IB,RESPONSABILITE,None
148,invalid_required_fields,6612000,93.3.3.2 Mise en Observations Consultations externes,RESPONSABILITE,None
150,invalid_required_fields,6612000,93.3.7.1 consultations Dermatologie,RESPONSABILITE,None
151,invalid_required_fields,6612000,93.3.7.2 Hospitalisations Dermatologie,RESPONSABILITE,None
152,invalid_required_fields,6612000,93.3.7.3 Actes Dermatologie,RESPONSABILITE,None
163,invalid_required_fields,6612000,93.3.12.2 Hospitalisations de jour Néphrologie Hémodialyse,RESPONSABILITE,None
169,invalid_required_fields,6612000,93.1.1.2.1 CA,RESPONSABILITE,None
170,invalid_required_fields,6612000,93.1.1.2.2 CME,RESPONSABILITE,None
171,invalid_required_fields,6612000,93.1.1.2.3 CTE,RESPONSABILITE,None
172,invalid_required_fields,6612000,93.1.1.2.4 Commission de passation des marchés,RESPONSABILITE,None
185,invalid_required_fields,6612000,93.1.3.3 division suivi budgétaire,RESPONSABILITE,None
187,invalid_required_fields,6612000,93.1.11.1 Brancardage,RESPONSABILITE,None
188,invalid_required_fields,6612000,93.1.11.2 Division qualité ,RESPONSABILITE,None
190,invalid_required_fields,6612000,93.1.11.4.1 CLIN,RESPONSABILITE,None
191,invalid_required_fields,6612000,93.1.11.4.2 Comité 5S,RESPONSABILITE,None
193,invalid_required_fields,6612000,93.1.9.2 Cellule de communication,RESPONSABILITE,None
195,invalid_required_fields,6612000,93.1.9.4 Prise en charge des Cas sociaux,RESPONSABILITE,None
196,invalid_required_fields,6612000,93.1.9.5 MAGAL,RESPONSABILITE,None
200,invalid_required_fields,6612000,93.1.5.3.1 Bureau formation,RESPONSABILITE,None
202,invalid_required_fields,6612000,93.1.5.3.3 CHST,RESPONSABILITE,None
203,missing_centre_after_creation,6612000,"93.1. 12.2 Division génie-civil (infrastructures, etc)",RESPONSABILITE,1050000
204,missing_centre_after_creation,6612000,93.1. 12.3 Division biomédicale,RESPONSABILITE,630000
205,missing_centre_after_creation,6612000,93.1. 12.4 Cellule informatique et télécoms,RESPONSABILITE,630000
206,missing_centre_after_creation,6612000,93.1. 12.5 magasin STM,RESPONSABILITE,1890000
207,missing_centre_after_creation,6612000,93.1. 13.1 Division hygiène,RESPONSABILITE,985000
208,missing_centre_after_creation,6612000,93.1. 13.2 Division sécurité,RESPONSABILITE,985000
216,invalid_required_fields,6618000,93.3.8.3 endoscopie,ASTREINTE,None
228,invalid_required_fields,6618000,93.3.20.2 Hospitalisations Ophtalmologie,ASTREINTE,None
239,invalid_required_fields,6618000,93.3.16.1 Séance ,ASTREINTE,None
250,invalid_required_fields,6618000,93.1.14.1 Pharmacie IB,ASTREINTE,None
256,invalid_required_fields,6618000,93.3.3.2 Mise en Observations Consultations externes,ASTREINTE,None
258,invalid_required_fields,6618000,93.3.7.1 consultations Dermatologie,ASTREINTE,None
259,invalid_required_fields,6618000,93.3.7.2 Hospitalisations Dermatologie,ASTREINTE,None
260,invalid_required_fields,6618000,93.3.7.3 Actes Dermatologie,ASTREINTE,None
271,invalid_required_fields,6618000,93.3.12.2 Hospitalisations de jour Néphrologie Hémodialyse,ASTREINTE,None
276,invalid_required_fields,6618000,93.1.1.1 Secrétariat Direction,ASTREINTE,None
277,invalid_required_fields,6618000,93.1.1.2.1 CA,ASTREINTE,None
278,invalid_required_fields,6618000,93.1.1.2.2 CME,ASTREINTE,None
279,invalid_required_fields,6618000,93.1.1.2.3 CTE,ASTREINTE,None
280,invalid_required_fields,6618000,93.1.1.2.4 Commission de passation des marchés,ASTREINTE,None
287,invalid_required_fields,6618000,93.1.6.1 Secrétariat ACP,ASTREINTE,None
288,invalid_required_fields,6618000,93.1.6.2.1 Caisse dépenses,ASTREINTE,None
289,invalid_required_fields,6618000,93.1.6.2.2 Caisse recettes (caisse principale),ASTREINTE,None
290,invalid_required_fields,6618000,93.1.6.3 Division recouvrement,ASTREINTE,None
292,invalid_required_fields,6618000,93.1.3.2 division Comptabilité analytique,ASTREINTE,None
293,invalid_required_fields,6618000,93.1.3.3 division suivi budgétaire,ASTREINTE,None
295,invalid_required_fields,6618000,93.1.11.1 Brancardage,ASTREINTE,None
296,invalid_required_fields,6618000,93.1.11.2 Division qualité ,ASTREINTE,None
298,invalid_required_fields,6618000,93.1.11.4.1 CLIN,ASTREINTE,None
299,invalid_required_fields,6618000,93.1.11.4.2 Comité 5S,ASTREINTE,None
301,invalid_required_fields,6618000,93.1.9.2 Cellule de communication,ASTREINTE,None
303,invalid_required_fields,6618000,93.1.9.4 Prise en charge des Cas sociaux,ASTREINTE,None
304,invalid_required_fields,6618000,93.1.9.5 MAGAL,ASTREINTE,None
308,invalid_required_fields,6618000,93.1.5.3.1 Bureau formation,ASTREINTE,None
310,invalid_required_fields,6618000,93.1.5.3.3 CHST,ASTREINTE,None
311,missing_centre_after_creation,6618000,"93.1. 12.2 Division génie-civil (infrastructures, etc)",ASTREINTE,105000
312,missing_centre_after_creation,6618000,93.1. 12.3 Division biomédicale,ASTREINTE,63000
313,missing_centre_after_creation,6618000,93.1. 12.4 Cellule informatique et télécoms,ASTREINTE,63000
314,missing_centre_after_creation,6618000,93.1. 12.5 magasin STM,ASTREINTE,189000
315,invalid_required_fields,6618000,93.1. 13.1 Division hygiène,ASTREINTE,None
316,invalid_required_fields,6618000,93.1. 13.2 Division sécurité,ASTREINTE,None
317,invalid_required_fields,6618000,93.1.7.1 Magasin CM,ASTREINTE,None
318,invalid_required_fields,6618000,93.1.7.2 Comptabilité des matières S,ASTREINTE,None
339,invalid_required_fields,6041100,93.3.20.2 Hospitalisations Ophtalmologie,MEDICAMENT ET CONSOMMABLE,None
361,invalid_required_fields,6041100,93.1.14.1 Pharmacie IB,MEDICAMENT ET CONSOMMABLE,None
364,invalid_required_fields,6041100,93.3.3.2 Mise en Observations Consultations externes,MEDICAMENT ET CONSOMMABLE,None
379,invalid_required_fields,6041100,93.3.12.2 Hospitalisations de jour Néphrologie Hémodialyse,MEDICAMENT ET CONSOMMABLE,None
385,invalid_required_fields,6041100,93.1.1.2.1 CA,MEDICAMENT ET CONSOMMABLE,None
386,invalid_required_fields,6041100,93.1.1.2.2 CME,MEDICAMENT ET CONSOMMABLE,None
387,invalid_required_fields,6041100,93.1.1.2.3 CTE,MEDICAMENT ET CONSOMMABLE,None
388,invalid_required_fields,6041100,93.1.1.2.4 Commission de passation des marchés,MEDICAMENT ET CONSOMMABLE,None
401,invalid_required_fields,6041100,93.1.3.3 division suivi budgétaire,MEDICAMENT ET CONSOMMABLE,None
402,invalid_required_fields,6041100,93.1.4.1 Audit interne,MEDICAMENT ET CONSOMMABLE,None
404,invalid_required_fields,6041100,93.1.11.2 Division qualité ,MEDICAMENT ET CONSOMMABLE,None
406,invalid_required_fields,6041100,93.1.11.4.1 CLIN,MEDICAMENT ET CONSOMMABLE,None
407,invalid_required_fields,6041100,93.1.11.4.2 Comité 5S,MEDICAMENT ET CONSOMMABLE,None
409,invalid_required_fields,6041100,93.1.9.2 Cellule de communication,MEDICAMENT ET CONSOMMABLE,None
411,invalid_required_fields,6041100,93.1.9.4 Prise en charge des Cas sociaux,MEDICAMENT ET CONSOMMABLE,None
412,invalid_required_fields,6041100,93.1.9.5 MAGAL,MEDICAMENT ET CONSOMMABLE,None
416,invalid_required_fields,6041100,93.1.5.3.1 Bureau formation,MEDICAMENT ET CONSOMMABLE,None
418,invalid_required_fields,6041100,93.1.5.3.3 CHST,MEDICAMENT ET CONSOMMABLE,None
419,missing_centre_after_creation,6041100,"93.1. 12.2 Division génie-civil (infrastructures, etc)",MEDICAMENT ET CONSOMMABLE,48950
420,missing_centre_after_creation,6041100,93.1. 12.3 Division biomédicale,MEDICAMENT ET CONSOMMABLE,29370
421,missing_centre_after_creation,6041100,93.1. 12.4 Cellule informatique et télécoms,MEDICAMENT ET CONSOMMABLE,29370
422,missing_centre_after_creation,6041100,93.1. 12.5 magasin STM,MEDICAMENT ET CONSOMMABLE,88110
423,missing_centre_after_creation,6041100,93.1. 13.1 Division hygiène,MEDICAMENT ET CONSOMMABLE,74175
424,missing_centre_after_creation,6041100,93.1. 13.2 Division sécurité,MEDICAMENT ET CONSOMMABLE,74175
427,invalid_required_fields,6041100,93.1.8.1 SIH,MEDICAMENT ET CONSOMMABLE,None
