excel_row,reason,compte,centre,designation,montant
5,invalid_required_fields,6611000,93.3.8.3 endoscopie,SALAIRES,None
15,missing_centre_after_93to94,6611000,93. 3.17.4 Actes Gynécologie Obstétrique,SALAIRES,19964107
17,invalid_required_fields,6611000,93.3.20.2 Hospitalisations Ophtalmologie,SALAIRES,None
22,missing_centre_after_93to94,6611000,93.2.3.2Radio standard,SALAIRES,17836547
41,missing_centre_after_93to94,6611000,93.3.2.3 hospitalisation Anesthesie Réanimation,SALAIRES,13147734
43,invalid_required_fields,6611000,93.3.3.2 Mise en Observations Consultations externes,SALAIRES,None
47,missing_centre_after_93to94,6611000,93.3.7.3 Actes Dermatologie,SALAIRES,349479
52,missing_centre_after_93to94,6611000,93.3.6.5 Echocoeur,SALAIRES,3139328
58,invalid_required_fields,6611000,93.3.12.2 Hospitalisations de jour Néphrologie Hémodialyse,SALAIRES,None
61,invalid_required_fields,6611000,93.1.1.2.1 CA,SALAIRES,None
62,invalid_required_fields,6611000,93.1.1.2.2 CME,SALAIRES,None
63,invalid_required_fields,6611000,93.1.1.2.3 CTE,SALAIRES,None
64,invalid_required_fields,6611000,93.1.1.2.4 Commission de passation des marchés,SALAIRES,None
66,missing_centre_after_93to94,6611000,93.1.2.2.1 Bureau de la facturation,SALAIRES,15228757
67,missing_centre_after_93to94,6611000,93.1.2.2.2 Bureau des entrées,SALAIRES,8228557
72,missing_centre_after_93to94,6611000,93.1.6.2.1 Caisse dépenses,SALAIRES,5353489
73,missing_centre_after_93to94,6611000,93.1.6.2.2 Caisse recettes (caisse principale),SALAIRES,14707535
74,missing_centre_after_93to94,6611000,93.1.6.3 Division recouvrement,SALAIRES,3680193
76,invalid_required_fields,6611000,93.1.3.2 division Comptabilité analytique,SALAIRES,None
77,invalid_required_fields,6611000,93.1.3.3 division suivi budgétaire,SALAIRES,None
79,invalid_required_fields,6611000,93.1.11.1 Brancardage,SALAIRES,None
80,invalid_required_fields,6611000,93.1.11.2 Division qualité ,SALAIRES,None
82,invalid_required_fields,6611000,93.1.11.4.1 CLIN,SALAIRES,None
83,invalid_required_fields,6611000,93.1.11.4.2 Comité 5S,SALAIRES,None
85,invalid_required_fields,6611000,93.1.9.2 Cellule de communication,SALAIRES,None
86,missing_centre_after_93to94,6611000,93.1.9.3 Division accueil et orientation,SALAIRES,3760964
87,invalid_required_fields,6611000,93.1.9.4 Prise en charge des Cas sociaux,SALAIRES,None
88,invalid_required_fields,6611000,93.1.9.5 MAGAL,SALAIRES,None
90,missing_centre_after_93to94,6611000,93.1.5.2.1 Administration du personnel,SALAIRES,968883
91,missing_centre_after_93to94,6611000,93.1.5.2.2 Gestion de la paie,SALAIRES,1453325
92,invalid_required_fields,6611000,93.1.5.3.1 Bureau formation,SALAIRES,None
93,missing_centre_after_93to94,6611000,93.1.5.3.2 Gestion des carrières et des compétences,SALAIRES,1453325
94,invalid_required_fields,6611000,93.1.5.3.3 CHST,SALAIRES,None
95,missing_centre_after_93to94,6611000,"93.1. 12.2 Division génie-civil (infrastructures, etc)",SALAIRES,5562019
96,missing_centre_after_93to94,6611000,93.1. 12.3 Division biomédicale,SALAIRES,3337212
97,missing_centre_after_93to94,6611000,93.1. 12.4 Cellule informatique et télécoms,SALAIRES,3337212
98,missing_centre_after_93to94,6611000,93.1. 12.5 magasin STM,SALAIRES,10011635
99,missing_centre_after_93to94,6611000,93.1. 13.1 Division hygiène,SALAIRES,4998185
